uniqid,zip,year,month,day,sid,type,name,lat,lon,nth,distance,AWND,PRCP,SNOW,SNWD,TMAX,TMIN,WT08,WT11
1001,18940,2007,1,1,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,29,493,0,0,106,-39,,
1001,18940,2007,1,2,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,45,0,0,0,133,39,,
1001,18940,2007,1,3,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,26,0,0,0,83,-44,,
1001,18940,2007,1,4,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,17,0,0,0,117,-44,,
1001,18940,2007,1,5,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,33,81,0,0,144,-22,,
1001,18940,2007,1,6,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,56,5,0,0,172,122,,
1001,18940,2007,1,7,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,30,43,0,0,217,61,,
1001,18940,2007,1,8,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,36,325,0,0,100,22,,
1001,18940,2007,1,9,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,34,0,0,0,122,-33,,
1001,18940,2007,1,10,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,43,0,0,0,67,-11,1,
1001,18940,2007,1,11,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,22,0,0,0,11,-67,,
1001,18940,2007,1,12,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,28,0,0,0,33,-67,,
1001,18940,2007,1,13,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,18,36,0,0,100,-6,,
1001,18940,2007,1,14,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,17,46,0,0,139,72,,
1001,18940,2007,1,15,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,27,3,0,0,139,56,,
1001,18940,2007,1,16,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,57,0,0,0,172,56,,
1001,18940,2007,1,17,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,31,0,0,0,94,-78,,
1001,18940,2007,1,18,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,5,5,0,0,-11,-78,,
1001,18940,2007,1,19,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,48,0,0,0,6,-78,1,
1001,18940,2007,1,20,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,60,0,0,0,50,-22,,
1001,18940,2007,1,21,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,21,0,0,0,0,-78,1,
1001,18940,2007,1,22,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,11,10,0,0,-28,-78,1,
1001,18940,2007,1,23,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,26,0,0,0,-6,-44,1,
1001,18940,2007,1,24,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,22,0,0,0,22,-61,,
1001,18940,2007,1,25,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,39,0,0,0,39,-44,1,
1001,18940,2007,1,26,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,49,0,0,0,17,-128,,
1001,18940,2007,1,27,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,10,0,0,0,-44,-128,,
1001,18940,2007,1,28,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,11,8,0,0,28,-56,1,
1001,18940,2007,1,29,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,43,3,0,0,50,-56,,
1001,18940,2007,1,30,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,30,0,0,0,-17,-83,,
1001,18940,2007,1,31,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,41,0,0,0,28,-89,,
1001,18940,2007,2,1,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,22,0,0,0,-6,-67,1,
1001,18940,2007,2,2,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,17,8,0,0,11,-39,1,
1001,18940,2007,2,3,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,52,0,0,0,39,-50,1,
1001,18940,2007,2,4,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,49,0,0,0,-22,-83,,
1001,18940,2007,2,5,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,63,0,0,0,-28,-133,,
1001,18940,2007,2,6,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,44,0,0,0,-83,-139,,
1001,18940,2007,2,7,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,42,0,0,0,-67,-133,1,
1001,18940,2007,2,8,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,53,0,0,0,-50,-117,,
1001,18940,2007,2,9,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,51,0,0,0,-33,-111,,
1001,18940,2007,2,10,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,43,0,0,0,-11,-89,,
1001,18940,2007,2,11,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,29,0,0,0,-6,-100,,
1001,18940,2007,2,12,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,22,0,0,0,6,-100,,
1001,18940,2007,2,13,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,51,33,0,0,50,-67,1,
1001,18940,2007,2,14,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,84,127,51,51,-22,-67,1,
1001,18940,2007,2,15,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,62,0,25,76,0,-100,,
1001,18940,2007,2,16,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,57,0,0,25,-56,-111,,
1001,18940,2007,2,17,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,32,0,0,25,-33,-122,,
1001,18940,2007,2,18,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,45,0,0,25,28,-122,,
1001,18940,2007,2,19,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,48,0,0,25,0,-117,,
1001,18940,2007,2,20,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,19,0,0,,-22,-117,,
1001,18940,2007,2,21,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,23,23,0,,83,-39,,
1001,18940,2007,2,22,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,33,46,0,,94,-50,1,
1001,18940,2007,2,23,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,72,0,0,0,67,-39,,
1001,18940,2007,2,24,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,53,0,0,0,22,-78,,
1001,18940,2007,2,25,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,22,74,38,,50,-78,1,
1001,18940,2007,2,26,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,3,53,0,0,6,-39,,
1001,18940,2007,2,27,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,16,0,0,0,6,-17,1,
1001,18940,2007,2,28,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,26,0,0,0,78,-28,,
1001,18940,2007,3,1,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,32,3,0,0,67,-39,,
1001,18940,2007,3,2,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,48,513,0,0,122,-28,,
1001,18940,2007,3,3,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,25,0,0,0,150,-39,,
1001,18940,2007,3,4,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,52,0,0,0,139,-39,,
1001,18940,2007,3,5,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,68,0,0,0,39,-22,,
1001,18940,2007,3,6,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,69,0,0,0,56,-100,,
1001,18940,2007,3,7,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,10,33,8,51,-44,-111,1,
1001,18940,2007,3,8,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,38,0,0,25,-50,-150,,
1001,18940,2007,3,9,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,26,0,0,0,6,-150,,
1001,18940,2007,3,10,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,28,0,0,0,44,-100,1,
1001,18940,2007,3,11,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,35,46,0,0,167,-50,1,
1001,18940,2007,3,12,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,21,0,0,0,111,-39,,
1001,18940,2007,3,13,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,24,0,0,0,144,-39,,
1001,18940,2007,3,14,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,24,0,0,0,189,-6,1,
1001,18940,2007,3,15,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,35,76,0,0,256,33,1,
1001,18940,2007,3,16,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,64,577,76,76,189,17,,
1001,18940,2007,3,17,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,54,18,0,76,17,-33,,
1001,18940,2007,3,18,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,49,0,0,76,17,-39,,
1001,18940,2007,3,19,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,35,8,0,76,39,-67,,
1001,18940,2007,3,20,USC00288878,GHCND,TRENTON 2,40.2333,-74.7667,19,13957,43,0,0,51,72,-67,,
