uniqid,zip,from.year,from.month,from.day,to.year,to.month,to.day
1011,55007,2007,1,1,2017,12,31
1012,82831,2007,1,1,2017,12,31
1013,13301,2007,1,1,2017,12,31
1014,03820,2007,1,1,2017,12,31
1015,52140,2007,1,1,2017,12,31
1016,29321,2007,1,1,2017,12,31
1017,21074,2007,1,1,2017,12,31
1018,47876,2007,1,1,2017,12,31
1019,92055,2007,1,1,2017,12,31
1020,89420,2007,1,1,2017,12,31
1021,80816,2007,1,1,2017,12,31
1022,95452,2007,1,1,2017,12,31
1023,32410,2007,1,1,2017,12,31
1024,43109,2007,1,1,2017,12,31
1025,67745,2007,1,1,2017,12,31
1026,71483,2007,1,1,2017,12,31
1027,29430,2007,1,1,2017,12,31
1028,08098,2007,1,1,2017,12,31
1029,98252,2007,1,1,2017,12,31
1030,19503,2007,1,1,2017,12,31
1031,99571,2007,1,1,2017,12,31
1032,28787,2007,1,1,2017,12,31
1033,32080,2007,1,1,2017,12,31
1034,98221,2007,1,1,2017,12,31
1035,97367,2007,1,1,2017,12,31
1036,47201,2007,1,1,2017,12,31
1037,58746,2007,1,1,2017,12,31
1038,12160,2007,1,1,2017,12,31
1039,19072,2007,1,1,2017,12,31
1040,78160,2007,1,1,2017,12,31
1041,68922,2007,1,1,2017,12,31
1042,60538,2007,1,1,2017,12,31
1043,08530,2007,1,1,2017,12,31
1044,47436,2007,1,1,2017,12,31
1045,75420,2007,1,1,2017,12,31
1046,80801,2007,1,1,2017,12,31
1047,15687,2007,1,1,2017,12,31
1048,29074,2007,1,1,2017,12,31
1049,14453,2007,1,1,2017,12,31
1050,98836,2007,1,1,2017,12,31
1051,44645,2007,1,1,2017,12,31
1052,02916,2007,1,1,2017,12,31
1053,97435,2007,1,1,2017,12,31
1054,06050,2007,1,1,2017,12,31
1055,05360,2007,1,1,2017,12,31
1056,57270,2007,1,1,2017,12,31
1057,64492,2007,1,1,2017,12,31
1058,86445,2007,1,1,2017,12,31
1059,47035,2007,1,1,2017,12,31
1060,78580,2007,1,1,2017,12,31
1061,43326,2007,1,1,2017,12,31
1062,26101,2007,1,1,2017,12,31
1063,53103,2007,1,1,2017,12,31
1064,79363,2007,1,1,2017,12,31
1065,03084,2007,1,1,2017,12,31
1066,84735,2007,1,1,2017,12,31
1067,24162,2007,1,1,2017,12,31
1068,19454,2007,1,1,2017,12,31
1069,88030,2007,1,1,2017,12,31
1070,29813,2007,1,1,2017,12,31
1071,38863,2007,1,1,2017,12,31
1072,23162,2007,1,1,2017,12,31
1073,91743,2007,1,1,2017,12,31
1074,58630,2007,1,1,2017,12,31
1075,83414,2007,1,1,2017,12,31
1076,25530,2007,1,1,2017,12,31
1077,97078,2007,1,1,2017,12,31
1078,30646,2007,1,1,2017,12,31
1079,30230,2007,1,1,2017,12,31
1080,40820,2007,1,1,2017,12,31
1081,30104,2007,1,1,2017,12,31
1082,22935,2007,1,1,2017,12,31
1083,85172,2007,1,1,2017,12,31
