zip,city,state,cws_id,cws_name,cws_dist
07675,WESTWOOD,NJ,US1NJBG0005,WESTWOOD 0.8 ESE,1230.0
07677,WOODCLIFF LAKE,NJ,USC00289832,WOODCLIFF LAKE,925.0
07885,WHARTON,NJ,US1NJMS0063,MINE HILL TWP 1.1 ENE,912.0
07981,WHIPPANY,NJ,US1NJMS0047,MORRISTOWN 1.4 E,4557.0
08888,WHITEHOUSE,NJ,US1NJHN0011,READINGTON TWP 1.8 ENE,3035.0
07095,WOODBRIDGE,NJ,US1NJMD0043,WOODBRIDGE TWP 1.1 ESE,785.0
07481,WYCKOFF,NJ,USC00285503,MIDLAND PARK,1308.0
10451,BRONX,NY,USC00300961,BRONX,1768.0
10001,NEW YORK,NY,USC00305816,NEW YORK WB CITY,2512.0
02478,BELMONT,MA,US1MAMD0018,BELMONT 0.2 ESE,1652.0
02479,WAVERLEY,MA,US1MAMD0054,BELMONT 0.3 SE,1054.0
02445,BROOKLINE,MA,USC00191447,CHESTNUT HILL,1691.0
02420,LEXINGTON,MA,US1MAMD0052,LEXINGTON 0.6 SW,862.0
02492,NEEDHAM,MA,US1MANF0017,NEEDHAM 1.2 E,1878.0
02456,NEW TOWN,MA,USC00195317,NEWTON,3606.0
02460,NEWTONVILLE,MA,US1MAMD0119,WATERTOWN 1.1 W,2345.0
02462,NEWTON LOWER FALLS,MA,US1MAMD0071,NEWTON 2.2 NNW,3865.0
02471,WATERTOWN,MA,US1MASF0004,BRIGHTON 0.5 W,1472.0
02457,BABSON PARK,MA,USC00195203,NEEDHAM,2647.0
02481,WELLESLEY HILLS,MA,US1MANF0035,WELLESLEY 0.1 W,1733.0
02493,WESTON,MA,USC00196915,ROBERTS DAM,926.0
02184,BRAINTREE,MA,US1MANF0005,WEYMOUTH 0.5 NW,4269.0
02186,MILTON,MA,USC00194795,MILTON,1987.0
02169,QUINCY,MA,US1MANF0027,QUINCY 1.5 SW,2787.0
01718,VILLAGE OF NAGOG WOODS,MA,US1MAMD0053,ACTON 4.0 ENE,2091.0
01719,BOXBOROUGH,MA,US1MAMD0083,BOXBOROUGH 1.4 SSE,2200.0
01720,ACTON,MA,US1MAMD0012,ACTON 1.3 SW,2278.0
02475,ARLINGTON HEIGHTS,MA,USC00190166,ARLINGTON,792.0
02150,CHELSEA,MA,US1MASF0010,CHELSEA 0.8 N,1978.0
02152,WINTHROP,MA,US1MASF0002,WINTHROP 0.2 N,1578.0
02148,MALDEN,MA,US1MAMD0008,MELROSE 0.9 SSE,1398.0
02153,MEDFORD,MA,USC00194615,MEDFORD,1420.0
02156,WEST MEDFORD,MA,US1MAMD0044,MEDFORD 1.2 W,344.0
02143,SOMERVILLE,MA,USC00191099,"CAMBRIDGE ""B""",744.0
02180,STONEHAM,MA,USC00194635,MELROSE HIGHLANDS,1948.0
01913,AMESBURY,MA,US1MAES0027,AMESBURY 1.2 ENE,1621.0
01810,ANDOVER,MA,USC00190130,ANDOVER,548.0
01586,WEST MILLBURY,MA,USC00194771,MILLBURY,1111.0
02054,MILLIS,MA,US1MANF0011,MILLIS 2.0 SW,2882.0
01529,MILLVILLE,MA,US1MAWR0048,UXBRIDGE 1.9 WSW,6413.0
02350,MONPONSETT,MA,USC00196262,PEMBROKE,1961.0
02553,MONUMENT BEACH,MA,US1MABA0014,NORTH FALMOUTH 0.5 ENE,7159.0
