zip,city,state,cws_id,cws_name,cws_dist
18940,NEWTOWN,PA,USC00363200,GEORGE SCHOOL,461.0
38477,PROSPECT,TN,US1TNGL0002,PROSPECT 2.0NE,1614.0
21765,LISBON,MD,US1MDHW0017,WOODBINE 1.6 SE,2024.0
79364,SLATON,TX,USC00418373,SLATON,1000.0
38858,NETTLETON,MS,USC00220176,AMORY 4 W,13086.0
13856,WALTON,NY,USC00308936,WALTON,792.0
35016,ARAB,AL,US1ALMS0002,ARAB 2.6 WNW,4550.0
21207,GWYNN OAK,MD,US1MDBL0027,GWYNN OAK 1.2 SE,421.0
49715,BRIMLEY,MI,USC00206051,NORWAYS,10493.0
01921,BOXFORD,MA,US1MAES0012,BOXFORD 2.4 S,3367.0
55007,BROOK PARK,MN,USC00213793,HINCKLEY,8303.0
82831,ARVADA,WY,USC00480380,ARVADA 3 N,6714.0
13301,ALDER CREEK,NY,USC00302917,FORESTPORT,1501.0
03820,DOVER,NH,US1NHST0019,DOVER 0.8 E,293.0
52140,DORCHESTER,IA,USC00132311,DORCHESTER,1179.0
29321,BUFFALO,SC,US1SCUN0003,BUFFALO 1.5 NE,2594.0
21074,HAMPSTEAD,MD,US1MDCR0012,MANCHESTER 0.9 SSW,5830.0
47876,SAINT MARY OF THE WOODS,IN,USC00128732,TERRE HAUTE WTR CORP,5210.0
92055,CAMP PENDLETON,CA,US1CASD0004,OCEANSIDE 8.4NE,3843.0
89420,LUNING,NV,US1NVMN0003,LUNING 0.2 S,11221.0
80816,FLORISSANT,CO,USC00052965,FLORISSANT FOSSIL BED,4156.0
95452,KENWOOD,CA,US1CASN0104,KENWOOD 1.4 NNW,1954.0
32410,MEXICO BEACH,FL,US1FLGF0003,PORT ST. JOE 8.1 NNW,4645.0
43109,BRICE,OH,US1OHFR0037,REYNOLDSBURG 1.6 W,5423.0
67745,MC DONALD,KS,USC00145127,MC DONALD,503.0
71483,WINNFIELD,LA,USC00169803,WINNFIELD 3 N,4930.0
29430,BETHERA,SC,USC00380694,BETHERA 4 SW,6193.0
08098,WOODSTOWN,NJ,US1NJSL0002,WOODSTOWN 0.6 NW,1363.0
98252,GRANITE FALLS,WA,USC00457657,SILVERTON,13026.0
19503,BALLY,PA,US1PAMT0034,BALLY 2.2 SE,3098.0
