99611: KENAI, AK
99716: TWO RIVERS, AK
35954: ATTALLA, AL
35034: BRENT, AL
35959: CEDAR BLUFF, AL
35460: EPES, AL
36026: EQUALITY, AL
36027: EUFAULA, AL
35756: MADISON, AL
35984: MENTONE, AL
36874: SALEM, AL
35160: TALLADEGA, AL
36785: TYLER, AL
72011: BAUXITE, AR
72022: BRYANT, AR
72718: CAVE SPRINGS, AR
72829: CENTERVILLE, AR
72043: DIAZ, AR
72631: EUREKA SPRINGS, AR
71744: HAMPTON, AR
71748: IVAN, AR
71953: MENA, AR
72112: NEWPORT, AR
72677: SUMMIT, AR
72301: WEST MEMPHIS, AR
85531: CENTRAL, AZ
85532: CLAYPOOL, AZ
85931: FOREST LAKES, AZ
85342: MORRISTOWN, AZ
85621: NOGALES, AZ
85933: OVERGAARD, AZ
85541: PAYSON, AZ
85631: SAN MANUEL, AZ
85632: SAN SIMON, AZ
86445: WILLOW BEACH, AZ
90704: AVALON, CA
93424: AVILA BEACH, CA
93603: BADGER, CA
92223: BEAUMONT, CA
94923: BODEGA BAY, CA
95606: BROOKS, CA
92055: CAMP PENDLETON, CA
92008: CARLSBAD, CA
93429: CASMALIA, CA
95925: CHALLENGE, CA
92323: CIMA, CA
96107: COLEVILLE, CA
90630: CYPRESS, CA
91916: DESCANSO, CA
95935: DOBBINS, CA
95940: FEATHER FALLS, CA
95944: GOODYEARS BAR, CA
91743: GUASTI, CA
95545: HONEYDEW, CA
93526: INDEPENDENCE, CA
92602: IRVINE, CA
95642: JACKSON, CA
93531: KEENE, CA
95452: KENWOOD, CA
94548: KNIGHTSEN, CA
95453: LAKEPORT, CA
93440: LOS ALAMOS, CA
95030: LOS GATOS, CA
95552: MAD RIVER, CA
95460: MENDOCINO, CA
95041: MOUNT HERMON, CA
92363: NEEDLES, CA
93643: NORTH FORK, CA
95961: OLIVEHURST, CA
95556: ORLEANS, CA
93030: OXNARD, CA
95665: PINE GROVE, CA
91337: RESEDA, CA
94801: RICHMOND, CA
92675: SAN JUAN CAPISTRANO, CA
93962: SPRECKELS, CA
91381: STEVENSON RANCH, CA
95255: WEST POINT, CA
81621: BASALT, CO
80805: BETHUNE, CO
80809: CASCADE, CO
81125: CENTER, CO
81520: CLIFTON, CO
81222: COALDALE, CO
81610: DINOSAUR, CO
80816: FLORISSANT, CO
81521: FRUITA, CO
80820: GUFFEY, CO
81638: HAMILTON, CO
80537: LOVELAND, CO
81641: MEEKER, CO
81144: MONTE VISTA, CO
81236: NATHROP, CO
81422: NATURITA, CO
80749: SEDGWICK, CO
80477: STEAMBOAT SPRINGS, CO
81435: TELLURIDE, CO
06524: BETHANY, CT
06801: BETHEL, CT
06824: FAIRFIELD, CT
06336: GILMAN, CT
06450: MERIDEN, CT
06050: NEW BRITAIN, CT
06258: POMFRET, CT
06365: PRESTON, CT
19963: MILFORD, DE
19702: NEWARK, DE
32617: ANTHONY, FL
33904: CAPE CORAL, FL
32710: CLARCONA, FL
33441: DEERFIELD BEACH, FL
32725: DELTONA, FL
32240: JACKSONVILLE BEACH, FL
33849: KATHLEEN, FL
32756: MOUNT DORA, FL
32182: ORANGE SPRINGS, FL
33780: PINELLAS PARK, FL
32080: SAINT AUGUSTINE, FL
34769: SAINT CLOUD, FL
34606: SPRING HILL, FL
32301: TALLAHASSEE, FL
30619: ARNOLDSVILLE, GA
39817: BAINBRIDGE, GA
31627: CECIL, GA
39841: DAMASCUS, GA
30534: DAWSONVILLE, GA
30543: GILLSVILLE, GA
30646: HULL, GA
31045: JEWELL, GA
30145: KINGSTON, GA
30728: LA FAYETTE, GA
31550: MANOR, GA
30256: MEANSVILLE, GA
30559: MINERAL BLUFF, GA
30739: ROCK SPRING, GA
30571: SAUTEE NACOOCHEE, GA
30084: TUCKER, GA
96781: PAPAIKOU, HI
96788: PUKALANI, HI
96859: TRIPLER ARMY MEDICAL CENTER, HI
50006: ALDEN, IA
52619: ARGYLE, IA
52544: CENTERVILLE, IA
51632: CLARINDA, IA
51441: DELOIT, IA
50134: KELLEY, IA
51550: MAGNOLIA, IA
52060: MAQUOKETA, IA
52641: MOUNT PLEASANT, IA
52573: MOUNT STERLING, IA
51355: OKOBOJI, IA
51049: QUIMBY, IA
83520: AHSAHKA, ID
83801: ATHOL, ID
83217: BANCROFT, ID
83811: CLARK FORK, ID
83524: CULDESAC, ID
83533: GREENCREEK, ID
83341: KIMBERLY, ID
83654: NEW MEADOWS, ID
83446: SPENCER, ID
62601: ALEXANDER, IL
60803: ALSIP, IL
62906: ANNA, IL
62217: BALDWIN, IL
62621: BLUFFS, IL
60915: BRADLEY, IL
62901: CARBONDALE, IL
60013: CARY, IL
61014: CHADWICK, IL
62323: CHAMBERSBURG, IL
61318: COMPTON, IL
61323: DOVER, IL
60932: EAST LYNN, IL
61528: EDWARDS, IL
62343: HULL, IL
60049: LAKE ZURICH, IL
60534: LYONS, IL
60538: MONTGOMERY, IL
61554: PEKIN, IL
60178: SYCAMORE, IL
61957: WINDSOR, IL
46107: BEECH GROVE, IN
47601: BOONVILLE, IN
47834: BRAZIL, IN
47326: BRYANT, IN
47226: CLIFFORD, IN
47201: COLUMBUS, IN
47933: CRAWFORDSVILLE, IN
47017: CROSS PLAINS, IN
47436: HELTONVILLE, IN
47951: KENTLAND, IN
46761: LAGRANGE, IN
46052: LEBANON, IN
47564: OTWELL, IN
47670: PRINCETON, IN
47876: SAINT MARY OF THE WOODS, IN
46376: SCHNEIDER, IN
47878: SEELYVILLE, IN
46077: ZIONSVILLE, IN
67002: ANDOVER, KS
66007: BASEHOR, KS
66414: CARBONDALE, KS
66942: FORMOSO, KS
66434: HIAWATHA, KS
67853: INGALLS, KS
66044: LAWRENCE, KS
66862: MATFIELD GREEN, KS
67745: MC DONALD, KS
67117: NORTH NEWTON, KS
67563: OFFERLE, KS
66761: PIQUA, KS
67579: STERLING, KS
66544: VERMILLION, KS
67761: WALLACE, KS
42731: DUBRE, KY
40339: KEENE, KY
42759: MARROWBONE, KY
41351: MISTLETOE, KY
40353: MOUNT STERLING, KY
40461: PAINT LICK, KY
42371: RUMSEY, KY
40386: VERSAILLES, KY
41772: VEST, KY
70422: AMITE, LA
70721: CARVILLE, LA
71423: DRY PRONG, LA
71241: FARMERVILLE, LA
71438: HINESTON, LA
71247: HODGE, LA
70443: INDEPENDENCE, LA
71101: SHREVEPORT, LA
71275: SIMSBORO, LA
71483: WINNFIELD, LA
02702: ASSONET, MA
01331: ATHOL, MA
02019: BELLINGHAM, MA
01337: BERNARDSTON, MA
01921: BOXFORD, MA
02021: CANTON, MA
01834: GROVELAND, MA
01748: HOPKINTON, MA
02130: JAMAICA PLAIN, MA
02048: MANSFIELD, MA
01757: MILFORD, MA
01760: NATICK, MA
01951: NEWBURY, MA
01950: NEWBURYPORT, MA
01540: OXFORD, MA
01982: SOUTH HAMILTON, MA
01133: SPRINGFIELD, MA
01378: WARWICK, MA
02152: WINTHROP, MA
20861: ASHTON, MD
20610: BARSTOW, MD
21711: BIG POOL, MD
20818: CABIN JOHN, MD
21875: DELMAR, MD
21040: EDGEWOOD, MD
21207: GWYNN OAK, MD
21074: HAMPSTEAD, MD
20776: HARWOOD, MD
20643: IRONSIDES, MD
20794: JESSUP, MD
21659: RHODESDALE, MD
20688: SOLOMONS, MD
20897: SUBURB MARYLAND FAC, MD
04009: BRIDGTON, ME
04415: BROWNVILLE JUNCTION, ME
04424: DANFORTH, ME
04426: DOVER FOXCROFT, ME
04040: HARRISON, ME
04049: LIMINGTON, ME
04956: NEW VINEYARD, ME
04963: OAKLAND, ME
03908: SOUTH BERWICK, ME
48321: AUBURN HILLS, MI
49012: AUGUSTA, MI
49715: BRIMLEY, MI
49620: BUCKLEY, MI
49718: CARP LAKE, MI
49237: CONCORD, MI
48125: DEARBORN HEIGHTS, MI
49727: EAST JORDAN, MI
49730: ELMIRA, MI
48025: FRANKLIN, MI
48841: HENDERSON, MI
49753: LACHINE, MI
48159: MAYBEE, MI
49862: MUNISING, MI
49440: MUSKEGON, MI
48060: PORT HURON, MI
48651: PRUDENVILLE, MI
49779: ROGERS CITY, MI
48470: RUTH, MI
49970: WATTON, MI
48896: WINN, MI
48393: WIXOM, MI
55002: ALMELUND, MN
55307: ARLINGTON, MN
55706: BABBITT, MN
56601: BEMIDJI, MN
55007: BROOK PARK, MN
55313: BUFFALO, MN
55713: BUHL, MN
55008: CAMBRIDGE, MN
56330: FORESTON, MN
56270: MORTON, MN
56273: NEW LONDON, MN
56279: PENNOCK, MN
56473: PILLAGER, MN
55964: PLAINVIEW, MN
55376: SAINT MICHAEL, MN
56756: SALOL, MN
55082: STILLWATER, MN
55084: TAYLORS FALLS, MN
55777: VIRGINIA, MN
63530: ATLANTA, MO
63332: AUGUSTA, MO
65201: COLUMBIA, MO
63638: ELLINGTON, MO
65668: HERMITAGE, MO
65669: HIGHLANDVILLE, MO
63860: KEWANEE, MO
64447: MAYSVILLE, MO
64469: MAYSVILLE, MO
65713: NIANGUA, MO
65789: POMONA, MO
65738: REPUBLIC, MO
64085: RICHMOND, MO
