Bandwidth = 0.6
Cluster count: 29
Centers: 
[ 0.     0.073 -0.276 -0.225  0.282  0.28 ]
[37.    -0.316  2.758  1.774 -1.78  -1.702]
[61.    -0.332  2.739  4.707 -1.8   -1.853]
[133.      0.141   6.369   3.275  -1.978  -1.879]
[236.      3.638  -0.241  -0.218  -0.685  -0.313]
[1356.       3.411   -0.413   -0.269    1.192    1.575]
[1724.       0.133   -0.107    8.764   -1.151   -0.915]
[1725.       0.184   -0.16     4.747   -0.919   -0.753]
[2220.      -0.035   -0.313   10.819   -1.262   -0.973]
[2891.      10.834   13.312    2.457   -0.55    -0.581]
[2894.       4.608    5.3     -0.217   -0.227   -0.443]
[2900.      10.889   -0.415   -0.269    0.321   -0.07 ]
[2901.       7.226    3.096    1.369   -0.388   -0.388]
[2902.      10.755   10.697    1.838   -0.79    -0.685]
[3360.      -0.053    2.095   10.015   -1.382   -1.411]
[3540.      -0.114    0.681   13.326   -1.173   -1.116]
[3719.       3.779    3.043    1.807   -1.092   -0.685]
[4425.       7.602   -0.415   -0.269    0.838    1.372]
[4582.       1.737    0.428    2.245   -1.249   -0.889]
[4823.      -0.226    5.926    6.975   -1.908   -2.101]
[4967.       3.075    4.601    6.879   -1.575   -1.045]
[4978.       5.       8.095    3.498   -1.617   -1.068]
[6011.      -0.022   38.987    1.922   -0.651   -0.954]
[7762.       2.697    0.584   12.472   -1.412   -0.987]
[8013.       3.05     5.778   11.813   -1.444   -0.907]
[8014.       2.812    6.455   14.588   -1.384   -0.842]
[8015.       2.639    6.151   16.878   -1.213   -0.759]
[8016.       1.327    4.009   15.603   -1.01    -0.646]
[8024.       4.592    7.836    6.475   -1.624   -1.007]
