Bandwidth = 0.5 
Cluster count: 41
Centers: 
[ 0.    -0.464  0.731  0.204 -1.154 -1.11 ]
[ 2.     0.123 -0.33  -0.249  0.37   0.372]
[37.    -0.092  3.288  1.597 -1.742 -1.622]
[60.    -0.999  1.595  2.764 -2.031 -2.091]
[61.    -0.319  2.811  4.8   -1.799 -1.85 ]
[133.      0.4     6.217   3.817  -2.015  -2.045]
[235.      3.512  -0.236  -0.218  -0.705  -0.331]
[776.     -0.169   6.518   2.253  -1.898  -1.602]
[1356.       3.198   -0.415   -0.269    1.243    1.62 ]
[1699.       0.176   -0.135    4.509   -0.919   -0.77 ]
[1723.      -0.271    1.867    7.51    -1.557   -1.521]
[1724.       0.147   -0.135    8.627   -1.151   -0.907]
[2220.      -0.074   -0.366   11.003   -1.276   -0.975]
[2891.      10.838   13.345    2.459   -0.55    -0.581]
[2894.       4.627    5.33    -0.267   -0.192   -0.432]
[2900.      10.889   -0.415   -0.269    0.321   -0.07 ]
[2901.       7.227    3.096    1.369   -0.388   -0.388]
[2902.      10.757   10.647    1.816   -0.799   -0.689]
[3360.      -0.29     2.245   10.049   -1.335   -1.444]
[3540.       0.192    1.969   12.896   -1.347   -1.264]
[3541.      -0.279    0.04    13.599   -1.076   -1.04 ]
[3719.       2.843    3.145    3.007   -1.28    -0.975]
[3730.       3.98     4.474    1.385   -1.396   -0.822]
[4200.      -0.198    7.941    4.838   -2.092   -1.996]
[4416.       5.391   -0.415   -0.269    0.901    1.378]
[4425.       7.674   -0.415   -0.269    0.841    1.378]
[4571.       1.207   -0.394    6.66    -1.193   -0.909]
[4582.       1.973    0.355    2.408   -1.281   -0.875]
[4823.      -0.244    5.9      7.044   -1.901   -2.108]
[4967.       3.082    4.601    6.849   -1.575   -1.044]
[4977.       4.347    2.384    1.141   -0.869   -0.446]
[4978.       5.       8.095    3.498   -1.617   -1.068]
[5415.      -0.559    0.372    6.58    -0.785   -0.724]
[6011.      -0.022   38.987    1.922   -0.651   -0.954]
[7760.       1.746    1.349    9.999   -1.799   -1.241]
[7762.       2.704    0.584   12.473   -1.412   -0.987]
[8013.       3.05     5.778   11.811   -1.444   -0.907]
[8014.       2.815    6.462   14.539   -1.388   -0.844]
[8015.       2.637    6.146   16.93    -1.21    -0.757]
[8016.       1.326    4.007   15.602   -1.01    -0.646]
[8024.       4.592    7.836    6.476   -1.624   -1.007]
